summary
"01. Outbound: SIN 2025-11-10T11:05:00 → FRA 2025-11-10T17:40:00 | Singapore Airlines | SGD 3,018.41 | A2 C2 ECONOMY || Return : FRA 2025-11-17T21:40:00 → SIN 2025-11-18T17:00:00"
"02. Outbound: SIN 2025-11-10T20:25:00 → FRA 2025-11-11T06:15:00 | Gulf Air | SGD 2,515.52 | A2 C2 ECONOMY || Return : FRA 2025-11-17T10:45:00 → SIN 2025-11-18T12:30:00"
"03. Outbound: SIN 2025-11-10T16:15:00 → FRA 2025-11-11T05:45:00 | China Eastern Airlines | SGD 2,382.69 | A2 C2 ECONOMY || Return : FRA 2025-11-17T13:35:00 → SIN 2025-11-18T15:00:00"
"04. Outbound: SIN 2025-11-10T11:05:00 → FRA 2025-11-10T17:40:00 | Singapore Airlines, Lufthansa | SGD 3,635.27 | A2 C2 ECONOMY || Return : FRA 2025-11-17T21:40:00 → SIN 2025-11-18T16:55:00"
"05. Outbound: SIN 2025-11-10T11:40:00 → FRA 2025-11-10T22:15:00 | Turkish Airlines | SGD 2,717.33 | A2 C2 ECONOMY || Return : FRA 2025-11-17T18:25:00 → SIN 2025-11-18T17:35:00"
"01. Outbound: ICN 2025-11-10T13:10:00 → SIN 2025-11-10T21:55:00 | Air China | KRW 904,042.37 | A2 C0 ECONOMY || Return : SIN 2025-11-16T23:55:00 → ICN 2025-11-17T11:40:00"
"02. Outbound: ICN 2025-11-10T13:10:00 → SIN 2025-11-10T21:55:00 | Air China | KRW 904,042.37 | A2 C0 ECONOMY || Return : SIN 2025-11-16T09:30:00 → ICN 2025-11-16T21:55:00"
"03. Outbound: ICN 2025-11-10T11:35:00 → SIN 2025-11-10T17:10:00 | Scoot | KRW 1,319,697.01 | A2 C0 ECONOMY || Return : SIN 2025-11-16T12:30:00 → ICN 2025-11-16T21:45:00"
"04. Outbound: ICN 2025-11-10T13:10:00 → SIN 2025-11-10T21:55:00 | Air China, Shenzhen  Airlines | KRW 918,436.72 | A2 C0 ECONOMY || Return : SIN 2025-11-16T03:00:00 → ICN 2025-11-16T15:45:00"
"05. Outbound: ICN 2025-11-10T12:55:00 → SIN 2025-11-10T22:00:00 | China Eastern Airlines | KRW 888,125.27 | A2 C0 ECONOMY || Return : SIN 2025-11-16T00:55:00 → ICN 2025-11-16T14:40:00"
"01. Outbound: SIN 2025-11-10T23:20:00 → NRT 2025-11-11T07:10:00 | Scoot | SGD 1,577.57 | A2 C2 ECONOMY || Return : NRT 2025-11-17T08:50:00 → SIN 2025-11-17T15:30:00"
"02. Outbound: SIN 2025-11-10T23:20:00 → NRT 2025-11-11T07:10:00 | Scoot, Hainan Airlines | SGD 1,270.24 | A2 C2 ECONOMY || Return : NRT 2025-11-17T14:35:00 → SIN 2025-11-18T03:10:00"
"03. Outbound: SIN 2025-11-10T10:10:00 → NRT 2025-11-10T20:55:00 | China Eastern Airlines, Scoot | SGD 1,727.23 | A2 C2 ECONOMY || Return : NRT 2025-11-17T08:50:00 → SIN 2025-11-17T15:30:00"
"04. Outbound: SIN 2025-11-10T23:20:00 → NRT 2025-11-11T07:10:00 | Scoot, China Eastern Airlines | SGD 1,225.12 | A2 C2 ECONOMY || Return : NRT 2025-11-17T15:20:00 → SIN 2025-11-18T11:40:00"
"05. Outbound: SIN 2025-11-10T18:30:00 → NRT 2025-11-11T06:20:00 | China Eastern Airlines, Jetstar Japan, Scoot | SGD 1,684.30 | A2 C2 ECONOMY || Return : NRT 2025-11-17T08:50:00 → SIN 2025-11-17T15:30:00"
"01. Outbound: SIN 2025-11-10T23:20:00 → NRT 2025-11-11T07:10:00 | Scoot | SGD 1,941.18 | A2 C0 PREMIUM_ECONOMY || Return : NRT 2025-11-17T08:50:00 → SIN 2025-11-17T15:30:00"
